name,longitude,latitude,postcode,suburb
PETER FRANKE RESERVE,145.273779999495,-37.619519999201,3760,Smiths Gully
PETER SCULLIN RESERVE,145.085169999455,-38.0087999986718,3195,Mordialloc
SCORESBY RECREATION RESERVE,145.227089999975,-37.8965099993756,3179,Scoresby
SCOVELL RESERVE,144.877990000436,-37.7842499987988,3012,Maidstone
TALLINTYRE RESERVE,144.812160000344,-37.7993699993548,3020,Sunshine West
PETERSON STREET RESERVE,145.026019999809,-37.9459799994346,3190,Highett
PETRIE PARK,145.125759999636,-37.7171999987149,3094,Montmorency
LUNA PARK,144.977639999722,-37.8681799992196,3182,St Kilda
LOOKOUT RESERVE,144.32181000033,-38.1415099994673,3220,Newtown
LORNAS TRIANGLE BUSHLAND RESERVE,145.170139999946,-38.3501299995148,3918,Bittern
LOUGHIES BUSHLAND,145.219260000209,-37.7961799987823,3134,Ringwood North
GAVIN PARK,144.93513999961,-37.7223499990948,3044,Pascoe Vale
Geelong Cricket Ground,144.354200000116,-38.1563099989781,3220,South Geelong
GEELONG GOLF CLUB,144.342520000209,-38.1301199988318,3215,North Geelong
BERRYS GREEN,145.02459000003,-36.6423499992045,3612,Whroo
FREGON RESERVE,145.126829999849,-37.9177099986824,3168,Clayton
FRIER OVAL,144.339590000541,-38.1598499991094,3220,Newtown
SERENDIP WILDLIFE RESEARCH STATION,144.406810000487,-38.0028999994642,3212,Lara
WILLIAM HOVELL RESERVE,145.581810000563,-38.6628999987594,3995,Harmers Haven
WILLIAM HUNTER FLORA RESERVE,148.551530000028,-37.7912399987103,3888,Marlo
NORM RAVEN RESERVE,144.7159900004,-37.6261599992214,3427,Diggers Rest
NORMAN AINSWORTH RESERVE,144.80041999972,-37.7865099994976,3020,Sunshine West
NORMAN BROOKS PARK,146.405179999936,-38.2333199994557,3840,Morwell
NORMAN RESERVE,145.203479999881,-37.7401299987478,3113,North Warrandyte
NORTH ALPHINGTON PARK,145.025420000273,-37.7762399992183,3078,Alphington
COLUMBIA PARK RESERVE,145.186020000424,-37.9147499990631,3150,Wheelers Hill
