name,longitude,latitude,postcode,suburb
DALYSTON PRIMARY SCHOOL,145.546200000039,-38.5603399990804,3992,Dalyston
POWLETT RIVER PRIMARY SCHOOL,145.546200000039,-38.5603399990804,3992,Dalyston
PRAHRAN PRIMARY SCHOOL,144.988199999517,-37.8503999994246,3181,Prahran
COBRICO PRIMARY SCHOOL,143.015149999527,-38.2981799987446,3266,Cobrico
SANDRINGHAM EAST PRIMARY SCHOOL,145.022230000096,-37.9566599991325,3191,Sandringham
JUNG PRIMARY SCHOOL,142.357649999542,-36.60678999873,3401,Jung
TOORA PRIMARY SCHOOL,146.327999999746,-38.6634999990911,3962,Toora
TOORADIN PRIMARY SCHOOL,145.378500000099,-38.2076199992018,3980,Tooradin
PORT MELBOURNE PRIMARY SCHOOL,144.932919999695,-37.8348499995009,3207,Port Melbourne
PORTARLINGTON PRIMARY SCHOOL,144.654990000324,-38.1155099994453,3223,Portarlington
BALWYN NORTH PRIMARY SCHOOL,145.077050000523,-37.7966899995066,3104,Balwyn North
BALWYN PRIMARY SCHOOL,145.081379999563,-37.8139199988752,3103,Balwyn
BADGER CREEK PRIMARY SCHOOL,145.533319999805,-37.6811399993167,3777,Badger Creek
BAILIESTON PRIMARY SCHOOL,145.115979999555,-36.7417899991115,3608,Bailieston
KALKEE PRIMARY SCHOOL,142.211259999641,-36.5370699992473,3401,Kalkee
IRREWARRA PRIMARY SCHOOL,143.637369999758,-38.3003999987697,3249,Irrewarra
IRYMPLE PRIMARY SCHOOL,142.15908999983,-34.2265899988509,3498,Irymple
IRYMPLE SOUTH PRIMARY SCHOOL,142.190629999607,-34.2524799994538,3498,Irymple
SILVERTON PRIMARY SCHOOL,145.192890000093,-37.9492199989205,3174,Noble Park North
HAWTHORN WEST PRIMARY SCHOOL,145.018380000214,-37.8200999988087,3122,Hawthorn
HAZELWOOD ESTATE PRIMARY SCHOOL,146.377919999758,-38.3128999988034,3840,Hazelwood
HAZELWOOD NORTH PRIMARY SCHOOL,146.447690000198,-38.2681799993227,3840,Hazelwood North
HAZELWOOD PRIMARY SCHOOL,146.443480000536,-38.2412399995129,3840,Morwell
BUXTON PRIMARY SCHOOL,145.709059999607,-37.4213899987097,3711,Buxton
BYLANDS PRIMARY SCHOOL,144.960979999767,-37.3515099986656,3762,Bylands
BYRNESIDE PRIMARY SCHOOL,145.16126000031,-36.3992899989262,3617,Byrneside
BUNGAREE PRIMARY SCHOOL,144.007099999569,-37.5575799993537,3352,Bungaree
BAIRNSDALE PRIMARY SCHOOL,147.623229999775,-37.8274099988668,3875,Bairnsdale
BAIRNSDALE WEST PRIMARY SCHOOL,147.608099999546,-37.8245299987581,3875,Bairnsdale
JANCOURT PRIMARY SCHOOL,143.095980000101,-38.3687399992501,3266,Jancourt
HEALESVILLE PRIMARY SCHOOL,145.516050000375,-37.6571199991176,3777,Healesville
HEATHCOTE PRIMARY SCHOOL,144.706859999601,-36.9239999993038,3523,Heathcote
HEATHERDALE PRIMARY SCHOOL,145.209590000099,-37.8215099992552,3132,Mitcham
HEATHERHILL PRIMARY SCHOOL,145.158150000282,-37.9626299987954,3171,Springvale
