name,longitude,latitude,postcode,suburb
PRESTON INSTITUTE OF TECHNOLOGY,145.068759999887,-37.6795699987124,3083,Bundoora
AUSTRALIAN COUNTER DISASTER COLLEGE,144.590139999936,-37.409289999033,3441,Mount Macedon
MORELAND HIGH SCHOOL,144.965980000399,-37.7517899992092,3058,Coburg
SAINT ARNAUD HIGH SCHOOL,143.250150000055,-36.6092899994466,3478,Saint Arnaud
NIDDRIE HIGH SCHOOL,144.878199999521,-37.7292899990547,3042,Airport West
NOBLE PARK NORTH HIGH SCHOOL,145.189310000141,-37.9428999988977,3174,Noble Park North
SUNSHINE TECHNICAL SCHOOL,144.82876000012,-37.7906799990285,3020,Sunshine
PRINCES HILL HIGH SCHOOL,144.965139999801,-37.7831799990858,3054,Princes Hill
TRARALGON SECONDARY COLLEGE EAST CAMPUS,146.550980000317,-38.2034599987091,3844,Traralgon
TRAFALGAR SECONDARY COLLEGE,146.158309999855,-38.2145499988108,3824,Trafalgar
TRAFALGAR HIGH SCHOOL,146.158309999855,-38.2145499988108,3824,Trafalgar
CASTLEMAINE TECHNICAL COLLEGE,144.220979999857,-37.0634599989129,3450,Castlemaine
ROSANNA EAST HIGH SCHOOL,145.087039999536,-37.7418999993585,3084,Viewbank
BANYULE HIGH SCHOOL,145.08069999953,-37.7517899993423,3084,Heidelberg
DOOKIE AGRICULTURE COLLEGE HALL,145.705420000081,-36.3828999992969,3647,Dookie College
TEMPLESTOWE HIGH SCHOOL,145.106259999525,-37.7712399990094,3107,Templestowe Lower
TEMPLESTOWE TECHNICAL SCHOOL,145.113759999721,-37.7792899991835,3108,Doncaster
COLLINGWOOD SECONDARY COLLEGE,144.986260000452,-37.799849999072,3066,Collingwood
WEDDERBURN HIGH SCHOOL,143.619310000375,-36.4173499990929,3518,Wedderburn
BENDIGO COLLEGE OF ADVANCED EDUCATION,144.300699999602,-36.779569999378,3550,Flora Hill
FAIRHILLS HIGH SCHOOL,145.259040000288,-37.8731999992827,3180,Knoxfield
YEA HIGH SCHOOL,145.408539999458,-37.214999998823,3717,Yea
FOOTSCRAY INSTITUTE OF TECHNOLOGY,144.899029999797,-37.7928999993126,3011,Footscray
ELTHAM HIGH SCHOOL,145.141730000287,-37.7244199986875,3095,Eltham
ELWOOD HIGH SCHOOL,144.985139999782,-37.8817899988762,3184,Elwood
EMILY MCPHERSON COLLEGE,144.965700000396,-37.8065099989554,3053,Carlton
BRUNSWICK EAST HIGH SCHOOL,144.96541999985,-37.7695699989224,3056,Brunswick
BRUNSWICK GIRLS HIGH SCHOOL,144.96541999985,-37.7695699989224,3056,Brunswick
BRUNSWICK HIGH SCHOOL,144.956529999896,-37.7667899987408,3056,Brunswick
BRUNSWICK TECHNICAL SCHOOL,144.955419999498,-37.7676299994443,3056,Brunswick
J H BOYD DOMESTIC COLLEGE,144.961529999476,-37.8253999987619,3006,Southbank
BRAEMAR COLLEGE,144.57570000028,-37.3631799987585,3441,Mount Macedon
MILDURA TECHNICAL SCHOOL,142.157090000087,-34.1970699990958,3500,Mildura
COBURG HIGH SCHOOL,144.97281000054,-37.7406899993466,3058,Coburg
CLAYTON TECHNICAL SCHOOL,145.127370000361,-37.9173499994057,3168,Clayton
ESSENDON HIGH SCHOOL,144.902369999933,-37.7542899991597,3040,Essendon
WHITEHORSE TECHNICAL COLLEGE,145.125419999502,-37.8192899987827,3128,Box Hill
ASPENDALE TECHNICAL SCHOOL,145.100839999667,-38.0203999993274,3195,Aspendale
TRARALGON SECONDARY COLLEGE WEST CAMPUS,146.520420000023,-38.1909599989803,3844,Traralgon
BELMONT HIGH SCHOOL,144.330569999487,-38.1756399989959,3216,Belmont
DANDENONG HIGH SCHOOL,145.209169999924,-37.9780399993104,3175,Dandenong
BELL PARK HIGH SCHOOL,144.328060000217,-38.1238999989945,3215,Hamlyn Heights
WESTERN HEIGHTS SECONDARY COLLEGE,144.328060000217,-38.1238999989945,3215,Hamlyn Heights
STAWELL COLLEGE GOLD REEF CAMPUS,142.783759999768,-37.0567899987088,3380,Stawell
STAWELL COLLEGE WONGA CAMPUS,142.789870000073,-37.0626299987384,3380,Stawell
MELBOURNE HIGH SCHOOL,144.995319999812,-37.8368199991262,3141,South Yarra
HURSTBRIDGE HIGH SCHOOL,145.187639999804,-37.6409599992372,3099,Hurstbridge
WATSONIA HIGH SCHOOL,145.096259999975,-37.7142899994287,3088,Greensborough
WATSONIA TECHNICAL SCHOOL,145.091809999455,-37.7095699990428,3087,Watsonia
WARRAGUL HIGH SCHOOL,145.922370000196,-38.1670699994684,3820,Warragul
CALVARY BIBLE COLLEGE,145.284870000435,-37.7595699994009,3115,Wonga Park
CAMBERWELL HIGH SCHOOL,145.072829999504,-37.83013999932,3124,Camberwell
MOORABBIN TECHNICAL COLLEGE,145.050699999976,-37.9378999989336,3189,Moorabbin
BENTLEIGH HIGH SCHOOL,145.061259999613,-37.9281799989348,3165,Bentleigh East
UPWEY HIGH SCHOOL,145.335479999578,-37.9043399995311,3158,Upwey
WANGARATTA HIGH SCHOOL,146.307729999819,-36.344889999246,3677,Wangaratta
SWAN HILL HIGH SCHOOL,143.553480000476,-35.3342899992691,3585,Swan Hill
BURWOOD HIGH SCHOOL,145.113199999811,-37.8487399989436,3125,Burwood
BURWOOD TECHNICAL SCHOOL,145.132639999852,-37.8462399993777,3125,Burwood
CHADSTONE HIGH SCHOOL,145.081810000041,-37.8798499987674,3145,Malvern East
FOSTER HIGH SCHOOL,146.201259999759,-38.6515099988618,3960,Foster
ARDOCH HIGH SCHOOL,144.998200000418,-37.8595699994542,3183,Saint Kilda East
BALLARAT GIRLS HIGH SCHOOL,143.864869999549,-37.5667899986477,3350,Golden Point
BALMORAL HIGH SCHOOL,141.831529999796,-37.2420699989902,3407,Balmoral
ALEXANDRA LADIES COLLEGE,142.03515000037,-37.7278999989301,3300,Hamilton
LA TROBE HIGH SCHOOL,145.047089999849,-37.7267899992109,3083,Bundoora
SHEPPARTON HIGH SCHOOL,145.415400000445,-36.3720499992996,3630,Shepparton
MELBOURNE COLLEGE OF DECORATION,144.954029999512,-37.8126299986861,3000,Melbourne
MELBOURNE COLLEGE OF TEXTILES,144.936809999776,-37.7348499992112,3044,Pascoe Vale South
MACROBERTSON GIRLS HIGH SCHOOL,144.971869999507,-37.8358699990361,3004,Melbourne
SEYMOUR SPECIAL SCHOOL,145.130700000471,-37.0206799992155,3660,Seymour
SHEPPARTON TECHNICAL SCHOOL,145.408199999577,-36.3673499987479,3630,Shepparton
BATMAN AUTOMOTIVE COLLEGE,144.959869999612,-37.7298499986783,3058,Coburg North
NAYOOK SECONDARY SCHOOL,145.949870000356,-37.9220699989609,3832,Nayook
NEERIM SOUTH SECONDARY COLLEGE,145.956690000285,-38.0169199992194,3831,Neerim South
NEERIM DISTRICT SECONDARY COLLEGE,145.956690000285,-38.0169199992194,3831,Neerim South
NEERIM SOUTH HIGH SCHOOL,145.956690000285,-38.0169199992194,3831,Neerim South
SEYMOUR TECHNICAL HIGH SCHOOL,145.141529999526,-37.0298499986431,3660,Seymour
FOOTSCRAY TECHNICAL COLLEGE,144.899869999437,-37.8045699988855,3011,Footscray
CHELTENHAM HIGH SCHOOL,145.068480000501,-37.953459999284,3192,Cheltenham
STAWELL TECHNICAL SCHOOL,142.781809999889,-37.0573499991531,3380,Stawell
SOUTH MELBOURNE TECHNICAL SCHOOL,144.960140000353,-37.8426299990541,3206,Albert Park
