name,longitude,latitude
NORTH ALPHINGTON PARK,145.025420000273,-37.7762399992183
COLUMBIA PARK RESERVE,145.186020000424,-37.9147499990631
COMO PARK,145.003940000445,-37.8360399993877
BEAUTY PARK,145.123659999496,-38.1487899987645
BECKETT PARK,145.092350000084,-37.8105599989401
VICTORIA MILL SCENIC RESERVE,143.228479999456,-37.2642899988233
VICTORIA PARK,143.823820000504,-37.5643699986732
TIMBEROO FOREST RESERVE,142.160149999693,-35.1881799989646
HIGHVIEW PARK,145.167689999586,-37.8640499994953
HINNOMUNJIE RECREATION RESERVE,147.673019999525,-37.0061599994072
RIVIERA PARK,145.13237000021,-38.0870699989671
ROBERT BRUCE RESERVE,144.776260000161,-37.7537399993319
ROBERT HEATLEY RESERVE,144.892339999539,-37.7896799989065
ROBERTSON RECREATION RESERVE,145.123480000509,-38.3903999993986
J ROBINSON RESERVE,144.959309999581,-37.7470699990984
REGENTS PARK,145.109060000059,-38.0317599991643
REEDS PICNIC AREA,142.448280000421,-37.1444599993455
GORDON O'KEEFFE RESERVE,144.628479999455,-37.9040099992682
GOULBURN PARK CARAVAN PARK,145.131529999937,-37.0306799994487
LOWER TEMPLESTOWE RESERVE,145.105140000096,-37.7684599994393
SEBASTOPOL OVAL,143.843480000413,-37.6034599992466
HISTORIC PINDI MILL SITE PICNIC AREA,145.555419999623,-37.4778999989977
DEMPSTER PARK,144.837810000216,-37.7752099987134
DENDY PARK,145.023379999472,-37.9255499993754
DENZIL DON RESERVE,144.938970000397,-37.7648399988118
RESERVOIR RESERVE,145.05822999962,-37.8110499986856
RICHARDS RESERVE,144.955580000363,-37.7295799987696
PARLIAMENT GARDENS,144.973500000415,-37.8098299993179
J.R. PARSONS RESERVE,144.835419999642,-37.7942899987404
COAL CREEK HISTORICAL PARK,145.834589999562,-38.4440099990105
R K RICHARDS RESERVE,144.78161000013,-37.8829299989576
DEVILBEND GOLF COURSE,145.109309999784,-38.2703999990336
BLACK FLAT,145.235420000534,-37.7342899989425
NEWTOWN PARK,144.321530000076,-38.1559599993543
LOGAN PARK,145.935209999647,-38.1689499991946
LOGAN RESERVE,144.830619999741,-37.8703199991688
S GANDOLFO GARDENS,144.962639999712,-37.7526299993864
GARDEN SQUARE,145.160979999521,-38.3920699988998
GARDINER PARK,145.049320000534,-37.8512499993903
GARDINERS CREEK RESERVE,145.102639999911,-37.8676299989217
FREDERICK MORETON RESERVE,144.332369999464,-38.1662399991982
FREEWAY RESERVE,145.168690000178,-37.9179999987674
FRANK GIBSON RESERVE,144.769090000239,-37.8609299991139
FRANK JONES RESERVE,147.058949999743,-38.0998799990218
FRANKSTON CARAVAN PARK,145.140419999595,-38.1745699987922
FRANKSTON PARK,145.120419999972,-38.1470699991433
FRASER NATIONAL PARK,145.830140000281,-37.1515099987164
FRASER RESERVE,145.354030000211,-37.8028999990306
R J FRASER RESERVE,144.936260000077,-37.7556799990657
GALVIN PARK,144.650579999639,-37.8864599991616
GARFIELD RECREATION RESERVE,145.677879999618,-38.0953599989216
GARY GREELISH OVAL,144.899589999709,-37.8137399987459
GASKIN PARK RESERVE,146.408200000369,-38.3095699988045
GAUDION RESERVE,144.869470000226,-37.7961699991676
FROG HOLLOW RESERVE,145.271849999786,-37.9925199986398
H W FOLETTA RESERVE,144.965219999966,-37.772149999376
CENTENARY PARK,145.067560000297,-37.9265799989162
CENTENARY PARK PUBLIC GOLF COURSE,145.176810000274,-38.1273499992536
CENTENARY PARK,145.175500000449,-38.1388099988329
CENTRAL GARDENS,145.041460000166,-37.8212199988276
GEORGE BATES RESERVE,146.345189999485,-38.1584199994675
GEORGE GRIFFIN RESERVE,144.89376000004,-37.8131799994007
GEORGE PENTLAND GARDENS,145.129590000302,-38.1526299987187
R J PHELAN RESERVE,144.232379999629,-36.2108799988505
THE 100 ACRES,145.224309999809,-37.7748499994487
THE ALBERT RICHARDSON RESERVE,144.260149999604,-36.7570699988495
PHILLIP STOKES PLANTATION,144.913199999909,-37.7487399994065
CENTRAL PARK,145.104550000317,-37.7158799988685
VICTORY PARK,144.912350000489,-37.7795699987012
VIEW BANK RESERVE,145.093479999848,-37.7412399991054
VIVA STREET RESERVE,145.040929999487,-37.8615499989869
CREIGHTONS CREEK RECREATION RESERVE,145.528229999665,-36.8793099991004
CRINIGAN ROAD NORTH RESERVE,146.428729999797,-38.2166399988633
CRINIGAN ROAD PUBLIC RESERVE,146.422639999889,-38.2140499988821
PATTERSON PARK,147.854309999912,-37.8887399993884
PAUL HUCKIN PARK,144.936370000542,-37.7518899986662
PAULINE TONER BUTTERFLY RESERVE,145.164269999965,-37.7176899992842
CRISPE PARK,144.997559999669,-37.7219499989044
TARWIN RECREATION RESERVE,145.866529999676,-38.705679998644
TATE RESERVE,144.979590000435,-37.748179999127
PICOLA RECREATION RESERVE,145.109600000091,-35.9968499987392
WA Wurrong Reserve,145.215060000372,-37.8043499991805
WABONGA PLATEAU PARK,146.48570000035,-36.9551299991657
BAULKAMAUGH RECREATION RESERVE,145.391260000062,-36.0590099992176
BAW BAW ALPINE RESERVE,146.27486999962,-37.8445699990635
BAW BAW NATIONAL PARK,146.319029999603,-37.8717899991085
BAYSWATER ROAD PARK,144.923780000091,-37.7937199988459
PENDERS PARK,145.00729999963,-37.7546099991437
PENGUIN ROOKERY RESERVE,145.150140000161,-38.5106799994045
PENINSULA COUNTRY GOLF CLUB,145.152919999848,-38.1295699986763
FRANK STREET RESERVE,145.14463999973,-38.1407699989814
PENINSULA RESERVE,145.14463999973,-38.1407699989814
PENNELL RESERVE,144.851369999905,-37.7763399986663
PENNINGTON RESERVE,144.343199999581,-36.6534099993761
PERCE ALLISON OVAL,145.368200000041,-38.0401299988153
PERCY TREWIN RESERVE,145.30944000023,-38.0255599988314
PERCY TREYVAUD MEMORIAL PARK,145.080189999789,-37.8826599986709
MACARTHUR SQUARE,144.971570000283,-37.7983699990096
CHIRNSIDE RESERVE,144.391260000293,-38.0206799993122
SEA LAKE RECREATION RESERVE,142.857000000327,-35.5102899995631
SHELIS RESERVE,144.939590000525,-37.7601299987229
SELBY PARK,145.369200000246,-37.9134399992064
SELWYN PARK,144.813590000012,-37.7820299989651
EDWARD HUNTER HERITAGE BUSHLAND RESERVE,146.261259999519,-38.1931799986574
EDWIN FLACK RESERVE,145.365019999474,-38.0288099989462
EGLINTON RESERVE,145.039040000062,-37.7996999986815
BULGA NATIONAL PARK,146.576260000354,-38.4209599991339
M B LYNCH GARDENS,144.833480000293,-37.7798499987641
LYNDEN PARK,145.086739999712,-37.8437499992613
WESTERN PORT STATE WILDLIFE RESERVE,145.290699999788,-38.2398499989128
WESTGATE PARK,144.910420000312,-37.831789998866
WESTLANDS,146.856810000087,-36.1276299993897
WYCHITELLA FLORA & FAUNA RESERVE,143.614870000068,-36.3509599993647
LORNA WILSON RESERVE,145.295139999747,-38.0126199994263
KIRSTY LOTTKOWITZ RESERVE,145.32764000016,-38.0223499991081
WIRIDJIL RECREATION RESERVE,143.150620000092,-38.620849998756
WONDERLAND TURNTABLE,142.503479999647,-37.1503999991585
WONGA FLORA AND FAUNA RESERVE,143.497919999545,-38.507899999323
KALORAMA MEMORIAL RESERVE,145.379569999645,-37.8164499993759
KALPARRIN GARDENS,145.100619999816,-37.6985399987524
KAMAROOKA RECREATION RESERVE,144.379020000298,-36.4567199991322
KAMAROOKA STATE PARK,144.421260000144,-36.5209599990723
KANANOOK CREEK RESERVE,145.127820000242,-38.0977599993947
JOHN COUTTS RESERVE,144.899579999691,-37.6949699991868
JOHN EDWIN SCOTT WATER RESERVE,146.244590000483,-36.4698499987572
JOHN WILTON RESERVE,144.911259999878,-37.6831799991802
JOHNSON OVAL,145.041809999845,-37.8484599990062
KEEGAN STREET RECREATION RESERVE,146.392090000306,-38.241789999031
FOSTERS ROAD RESERVE,144.851260000113,-37.7145699993141
KEILOR PARK RECREATION RESERVE,144.851260000113,-37.7145699993141
FINNS RESERVE,145.117570000336,-37.7537199990167
AKOONAH PARK,145.366200000465,-38.0391399987867
ALBERT RESERVE,145.061440000521,-37.7621299992145
ALBERTON RECREATION RESERVE,146.663079999646,-38.617199999351
ALEXANDER PARK,145.007510000534,-37.9380799991914
ALEXANDRA GARDENS,145.033489999756,-37.8076599991613
J I STEWART RESERVE,144.791260000386,-37.8673499987328
SPRING STREET RESERVE,145.020700000526,-37.9562399989995
TRARALGON SOUTH RECREATION RESERVE,146.540630000551,-38.2945099993219
TRICIA MAHON RESERVE,144.79930999972,-37.748739999268
G J  KENNEDY PARK,145.666809999907,-35.9148499991519
RAILWAY RESERVE,144.826529999878,-37.7851299992432
KENNETH GEORGE CHAPLIN RESERVE,144.826529999878,-37.7851299992432
FERNY CREEK RESERVE,145.346810000201,-37.8748499993789
W B FERRARI PARK,145.350489999757,-36.393859998891
GLOUCESTER RESERVE,144.886459999969,-37.8679699987692
CONNEWARRE RESERVE,144.398600000442,-38.2650199990402
CONSERVATION HILL WILDLIFE RESERVE,145.296810000199,-38.4598499990406
PETTYS RESERVE,145.151949999806,-37.7607899992263
KOW SWAMP PICNIC RESERVE,144.315700000482,-35.9534599992283
MARNOO PARK,142.95709000038,-36.6667899992759
MAROONA RECREATION GROUND,142.859589999912,-37.4378999990044
MAROXOMS PARK,142.016259999462,-34.2167899992314
JOHN FIELD RESERVE,146.295540000039,-38.1772699987214
FIRTH ENVIROMENTAL PARK,144.409589999497,-37.4342899987574
COOK RESERVE,144.922089999544,-37.6967899988291
W E CASH RESERVE,144.976809999748,-37.7240099990618
HOLLOW MOUNTAIN PICNIC AREA,142.382649999762,-36.887899999035
YARROWEYAH RECREATION GROUND,145.559870000391,-35.9195699988932
MIDLANDS GOLF COURSE,143.855419999782,-37.5292899994092
CLUNES GOLF CLUB,143.752650000016,-37.2845699990238
MAFEKING RESERVE,142.575419999556,-37.3740099994204
COHUNA SHOWGROUND,144.221260000273,-35.8103999990541
COLCHESTER PARK,145.165930000506,-38.22563999936
S COLE RESERVE,144.940699999585,-37.7206799990538
MERUKA PARK,145.134880000392,-37.7122499993984
MECHANICS RESERVE,145.361309999849,-37.8284799992313
CAPE WOOLAMAI STATE FAUNAL RESERVE,145.348760000571,-38.5515099994721
MOLIAGUL RECREATION GROUND,143.662369999743,-36.7490099990125
SUNSHINE GOLF COURSE,144.774730000213,-37.7930399992229
SUNSHINE RESERVE,145.008479999989,-38.2863599987647
AYSONS RESERVE,144.669299999541,-36.4593699989015
PARKER RESERVE,144.967269999803,-37.7225599992808
H E PARKER RESERVE,145.254849999699,-37.8354099993102
PARKFIELD RESERVE,145.181809999451,-37.9622299988429
ORBOST RECREATION RESERVE,148.45776000017,-37.7042999994839
REDESDALE RECREATION RESERVE,144.530730000552,-37.0221599990253
PRICE PARK,145.08657999992,-37.7362299994608
PRIDMORE PARK,145.015100000129,-37.8159799992964
PRIMROSE PARK PICNIC AREA,146.280980000077,-38.3962399992116
PRINCES PARK,144.962000000429,-37.7837599987743
PRINCES PARK,145.023350000032,-37.8939399989246
PROGRESS PARK,144.981610000173,-36.3958699990081
PROGRESS PARK,146.889309999997,-38.6059599992227
NUG NUG RESERVE,146.705029999576,-36.6611099990201
NORTHERN SUBURBS PARK RESERVE,145.036819999937,-37.710539999197
CARISBROOK SHOWGROUNDS,143.797649999998,-37.0387399990122
LINTON RECREATION RESERVE,143.56792000015,-37.6834599988516
HADDON RECREATION RESERVE,143.721669999879,-37.5875799990864
BULBAN RESERVE,144.49066000044,-37.9605899989479
BULL CREEK PICNIC AREA,145.574589999545,-37.4256799991765
CRINIGAN ROAD RESERVE,146.431259999804,-38.2203999990743
CROFTS RESERVE,144.833260000071,-37.827549999447
BENDIGO WHIPSTICK FOREST PARK,144.406810000446,-36.4970699990479
BENNETT AVENUE RESERVE,145.14819999953,-37.8592899991125
