name,longitude,latitude
SILVERTON PRIMARY SCHOOL,145.192890000093,-37.9492199989205
HAWTHORN WEST PRIMARY SCHOOL,145.018380000214,-37.8200999988087
HAZELWOOD ESTATE PRIMARY SCHOOL,146.377919999758,-38.3128999988034
HAZELWOOD NORTH PRIMARY SCHOOL,146.447690000198,-38.2681799993227
HAZELWOOD PRIMARY SCHOOL,146.443480000536,-38.2412399995129
BUXTON PRIMARY SCHOOL,145.709059999607,-37.4213899987097
BYLANDS PRIMARY SCHOOL,144.960979999767,-37.3515099986656
BYRNESIDE PRIMARY SCHOOL,145.16126000031,-36.3992899989262
BUNGAREE PRIMARY SCHOOL,144.007099999569,-37.5575799993537
BAIRNSDALE PRIMARY SCHOOL,147.623229999775,-37.8274099988668
BAIRNSDALE WEST PRIMARY SCHOOL,147.608099999546,-37.8245299987581
JANCOURT PRIMARY SCHOOL,143.095980000101,-38.3687399992501
HEALESVILLE PRIMARY SCHOOL,145.516050000375,-37.6571199991176
HEATHCOTE PRIMARY SCHOOL,144.706859999601,-36.9239999993038
HEATHERDALE PRIMARY SCHOOL,145.209590000099,-37.8215099992552
HEATHERHILL PRIMARY SCHOOL,145.158150000282,-37.9626299987954
HEATHERTON PRIMARY SCHOOL,145.102639999603,-37.9584599991409
HEATHMONT EAST PRIMARY SCHOOL,145.257689999471,-37.830329998768
HEDLEY PRIMARY SCHOOL,146.501260000096,-38.6478999987065
QUANTONG PRIMARY SCHOOL,142.025149999761,-36.7542899991946
RAGLAN PRIMARY SCHOOL,143.347650000012,-37.363459999343
RAINBOW PRIMARY SCHOOL,141.995150000089,-35.896239998755
WODONGA PRIMARY SCHOOL,146.889819999654,-36.1291999991014
WODONGA SOUTH PRIMARY SCHOOL,146.894000000531,-36.1396099988533
WODONGA WEST PRIMARY SCHOOL,146.87670999993,-36.1223999988215
WOLLERT PRIMARY SCHOOL,145.027110000312,-37.6113199990449
HARKAWAY PRIMARY SCHOOL,145.345179999908,-38.0008399989813
HARRIETVILLE PRIMARY SCHOOL,147.06493999999,-36.8876999993876
