stop_id,stop_name,stop_lat,stop_lon,source_file
20361,Woodend Railway Station (Woodend),-37.3587985943905,144.525890123296,source_1
20362,Yarragon Railway Station (Yarragon),-38.2031575351187,146.063062795324,source_1
22238,Flinders Street Railway Station (Melbourne City),-37.8183051340647,144.966964346167,source_1
22239,North Melbourne Railway Station (West Melbourne),-37.8063098353538,144.94151017321,source_1
22240,Footscray Railway Station (Footscray),-37.8014134330509,144.902020057667,source_1
22241,Sunshine Railway Station (Sunshine),-37.7885363319327,144.832878204954,source_1
22244,Watergardens Railway Station (Sydenham),-37.7011287184617,144.77418045437,source_1
22247,Richmond Railway Station (Richmond),-37.8240744554307,144.990164256273,source_1
22248,Caulfield Railway Station (Caulfield East),-37.8774594614967,145.042524781037,source_1
22249,Clayton Railway Station (Clayton),-37.92468255202,145.120534360257,source_1
22250,Dandenong Railway Station (Dandenong),-37.9899679153852,145.209725368166,source_1
22251,Berwick Railway Station (Berwick),-38.0404081301701,145.345714694143,source_1
22252,Pakenham Railway Station (Pakenham),-38.0806138269752,145.486367676332,source_1
22253,Essendon Railway Station (Essendon),-37.7560116950915,144.916197501013,source_1
22254,Broadmeadows Railway Station (Broadmeadows),-37.6830492642131,144.919613216031,source_1
22257,Sherwood Park Railway Station (Warrnambool),-38.3863922426883,142.538871160458,source_1
43469,Wendouree Railway Station (Wendouree),-37.5397161085599,143.820067525024,source_1
44951,Creswick Railway Station (Creswick),-37.4246053919996,143.888123645164,source_1
44952,Clunes Railway Station (Clunes),-37.3031407893339,143.781576577227,source_1
44953,Maryborough Railway Station (Maryborough),-37.0509084912268,143.742402336942,source_1
47482,Talbot Railway Station (Talbot),-37.1728992315924,143.705640344825,source_1
47641,Waurn Ponds Railway Station (Waurn Ponds),-38.2158144727243,144.306819399771,source_1
47642,Epsom Railway Station (Epsom),-36.7063415842164,144.321039539469,source_1
47647,Wyndham Vale Railway Station (Manor Lakes),-37.8728864691512,144.608731914243,source_1
47648,Tarneit Railway Station (Tarneit),-37.8321681307254,144.694714384216,source_1
48804,Cobblebank Railway Station (Cobblebank),-37.7125455447496,144.604107822837,source_1
49295,Raywood Railway Station (Raywood),-36.5319592725465,144.201161040619,source_1
49296,Huntly Railway Station (Huntly),-36.6658479426107,144.369820458509,source_1
49848,East Pakenham Railway Station (Pakenham),-38.0842846427134,145.506313864682,source_1
51809,Goornong Railway Station (Goornong),-36.6151832667628,144.503474174345,source_1
52011,Caroline Springs Railway Station (Ravenhall),-37.7661447211086,144.735747947879,source_1
17204,Wallan Railway Station (Wallan),-37.4168610028748,145.005372256037,source_2
19980,Melton Railway Station (Melton South),-37.7033590841646,144.572215773241,source_2
19981,Rockbank Railway Station (Rockbank),-37.7292612709254,144.650631483985,source_2
19982,Deer Park Railway Station (Deer Park),-37.7777637471548,144.772303608804,source_2
19998,Sunbury Railway Station (Sunbury),-37.5792063872513,144.728164508311,source_2
20020,Ardeer Railway Station (Ardeer),-37.7830652929449,144.802188066669,source_2
20029,Craigieburn Railway Station (Craigieburn),-37.6019247988394,144.943306014347,source_2
20043,Southern Cross Railway Station (Melbourne City),-37.8183342913486,144.952524867532,source_2
20287,Albury Railway Station (Albury (NSW)),-36.0842616098688,146.924515439062,source_2
20288,Ararat Railway Station (Ararat),-37.2822048502833,142.936913700789,source_2
20289,Avenel Railway Station (Avenel),-36.8936477837314,145.22951497896,source_2
20290,Bacchus Marsh Railway Station (Maddingley),-37.6875166592637,144.436855314371,source_2
20291,Bairnsdale Railway Station (Bairnsdale),-37.8287204273539,147.62761375413,source_2
20292,Ballan Railway Station (Ballan),-37.6042995115543,144.225448027584,source_2
20293,Ballarat Railway Station (Ballarat Central),-37.5587914824464,143.859457427768,source_2
