SA2 code,SA2 name,postcode
207021424,Doncaster East - North,3109
207021425,Doncaster East - South,3109
207031161,Blackburn,3130
207031162,Blackburn South,3130
207031163,Box Hill,3128
207031164,Box Hill North,3129
207031165,Burwood (Vic.),3125
207031166,Burwood East,3151
207031167,Surrey Hills (East) - Mont Albert,3127
208011168,Beaumaris,3193
208011169,Brighton (Vic.),3186
208011170,Brighton East,3187
208011171,Highett (West) - Cheltenham,3190
208011172,Hampton,3188
208011173,Sandringham - Black Rock,3193
208021174,Bentleigh - McKinnon,3204
208021176,Carnegie,3163
208021177,Caulfield - North,3161
208021178,Caulfield - South,3162
208021179,Elsternwick,3185
208021180,Hughesdale,3166
208021181,Murrumbeena,3163
208021182,Ormond - Glen Huntly,3163
208021426,Bentleigh East - North,3165
208021427,Bentleigh East - South,3165
208031183,Aspendale Gardens - Waterways,3195
208031184,Braeside,3195
208031185,Carrum - Patterson Lakes,3197
208031186,Chelsea - Bonbeach,3196
208031187,Chelsea Heights,3196
208031188,Highett (East) - Cheltenham,3190
208031189,Edithvale - Aspendale,3195
208031190,Mentone,3194
208031191,Moorabbin - Heatherton,3202
208031192,Moorabbin Airport,3194
208031193,Mordialloc - Parkdale,3195
208041194,Malvern - Glen Iris,3146
208041195,Malvern East,3145
209011196,Bundoora - East,3083
209011197,Greensborough,3087
209011198,Heidelberg - Rosanna,3084
209011199,Heidelberg West,3084
209011200,Ivanhoe,3079
209011201,Ivanhoe East - Eaglemont,3079
209011202,Montmorency - Briar Hill,3088
209011203,Viewbank - Yallambie,3085
209011204,Watsonia,3087
209021205,Kingsbury,3083
209021428,Preston - East,3072
209021429,Preston - West,3072
209021523,Reservoir - North East,3073
209021524,Reservoir - North West,3073
209021525,Reservoir - South East,3073
209021526,Reservoir - South West,3073
209031209,Eltham,0
209031210,Hurstbridge,3099
209031211,Kinglake,3763
209031212,Panton Hill - St Andrews,3759
209031213,Plenty - Yarrambat,3091
209031214,Research - North Warrandyte,3113
209031215,Wattle Glen - Diamond Creek,3096
209041216,Bundoora - North,3083
209041217,Bundoora - West,3083
209041220,Mill Park - North,3082
209041221,Mill Park - South,3082
209041223,Thomastown,3074
209041224,Wallan,3756
209041225,Whittlesea,3757
209041431,Epping - East,3076
209041432,Epping - South,3076
209041433,Epping (Vic.) - West,3076
209041435,South Morang - North,3752
209041436,South Morang - South,3752
209041437,Wollert,3750
209041527,Doreen - North,3754
209041528,Doreen - South,3754
209041529,Lalor - East,3075
209041530,Lalor - West,3075
209041531,Mernda - North,3754
209041532,Mernda - South,3754
210011226,Airport West,3041
210011227,Essendon Airport,0
210011228,Keilor,3036
210011230,Niddrie - Essendon West,3042
210011231,Strathmore,3041
210011533,Avondale Heights,3034
210011534,Keilor East,3033
210021232,Gisborne,3437
210021233,Macedon,3440
210021234,Riddells Creek,3431
210021235,Romsey,3434
210031236,Coburg North,3058
210031237,Fawkner,3060
210031439,Gowanbrae,3043
210031440,Hadfield,3046
210031535,Glenroy - East,3046
210031536,Glenroy - West,3046
210031537,Oak Park,3046
210031538,Pascoe Vale,3044
210041240,Sunbury,3429
210041539,Diggers Rest,3427
210041540,Sunbury - South,3429
210041541,Sunbury - West,3429
210051242,Broadmeadows,3047
210051243,Campbellfield - Coolaroo,3061
210051245,Gladstone Park - Westmeadows,3043
210051246,Greenvale - Bulla,3059
210051247,Meadow Heights,3048
210051248,Melbourne Airport,3045
210051250,Tullamarine,3043
210051441,Craigieburn - Central,3064
210051442,Craigieburn - North,3064
210051443,Craigieburn - South,3064
210051445,Mickleham - Yuroke,3064
210051542,Craigieburn - North West,3064
210051543,Craigieburn - West,3064
210051544,Roxburgh Park (South) - Somerton,3064
210051545,Roxburgh Park - North,3064
211011251,Bayswater,3153
211011254,Knoxfield - Scoresby,3180
211011255,Lysterfield,3156
211011256,Rowville - Central,3178
211011257,Rowville - North,3178
211011258,Rowville - South,3178
211011259,Wantirna,3152
211011260,Wantirna South,3152
211011446,Boronia,3155
211011447,Ferntree Gully - North,3156
211011448,Ferntree Gully (South) - Upper Ferntree Gully,3156
211011449,The Basin,3154
211021261,Donvale - Park Orchards,3111
211021262,Warrandyte - Wonga Park,3113
211031263,Bayswater North,3153
211031265,Croydon Hills - Warranwood,3136
211031266,Ringwood,3134
211031267,Ringwood East,3135
211031268,Ringwood North,3134
211031450,Croydon - East,3136
211031451,Croydon - West,3136
211031452,Croydon South,3136
211041269,Forest Hill,3131
211041270,Mitcham (Vic.),3132
211041271,Nunawading,3131
211041272,Vermont,3133
211041273,Vermont South,3133
211051274,Belgrave - Selby,3160
