addressSuburb,addressPostcode,IEO_Score,min_distance_to_shopping_mall,min_distance_to_secondary_school,min_distance_to_park,min_walking_distance_to_station,medical_institution_count,price,IER_Score,IEO_Score_normalized,min_distance_to_shopping_mall_normalized,min_distance_to_secondary_school_normalized,min_distance_to_park_normalized,min_walking_distance_to_station_normalized,medical_institution_count_normalized,price_normalized,IER_Score_normalized,liveability_score,affordability_score,overall_score
KEW,3101.0,1159.67,4.453437500000001,0.8647916666666666,0.6148958333333333,1.0795000000000001,15.520833333333334,805.46875,1058.24,0.9012601415501473,0.8793848637015782,0.9112613795518207,0.9083612767014406,0.9371168382834355,0.7152777777777778,0.7150364349775784,1.0,0.8754437129277001,0.8575182174887893,0.8664809652082446
HAWTHORN EAST,3123.0,1164.25,1.150731707317073,0.8947560975609756,1.0119512195121951,0.6953536585365854,14.0,578.2317073170732,1013.9900000000001,0.9276137867541294,0.9741540399622073,0.9081138552982169,0.8491875976881975,0.9599813309602651,0.7450980392156863,0.8169364541179044,0.8541337025316458,0.8940247749797837,0.835535078324775,0.8647799266522794
YARRAVILLE,3013.0,1115.25,3.7586363636363633,0.9281818181818182,0.649090909090909,0.8591249999999999,7.420454545454546,650.2272727272727,1035.13,0.6456643074975554,0.8993217686187557,0.9046027501909855,0.9032651402249017,0.9502336170466044,0.8741087344028521,0.784651447207501,0.9238198839662449,0.8628660529969424,0.854235665586873,0.8585508592919077
TOORAK,3142.0,1176.83,5.674918032786885,0.6616393442622951,0.5536885245901639,0.8332295081967213,27.18032786885246,700.983606557377,1034.95,1.0,0.8443352070936332,0.9326009092161455,0.917483081283135,0.951774923623789,0.48666023786563806,0.7618907593913108,0.923226529535865,0.8554757265137235,0.8425586444635879,0.8490171854886557
HAWTHORN,3122.0,1169.12,7.105344827586207,0.9931896551724138,0.3882758620689655,1.2950603448275861,13.75,570.0431034482758,989.66,0.9556361125496283,0.8032899619057043,0.8977741958852508,0.9421347448481423,0.9242866290799604,0.75,0.8206084737900109,0.7739319620253164,0.8788536073781142,0.7972702179076636,0.838061912642889
