postcode,2001_population,2002_population,2003_population,2004_population,2005_population,2006_population,2007_population,2008_population,2009_population,2010_population,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population,2019_population,2020_population,2021_population,2022_population,2023_population,ERP_2023_change_number,natural_2023_increase_number,internal_2023_migration_number,overseas_2023_migration_number,area_in_square_kilometers,estimated_2024_population,IEO_Score,IEO_State Rank,IEO_State Decile,IEO_State Percentile,IER_Usual Resident Population,IER_Score,IER_State Rank,IER_State Decile,IER_State Percentile,ERP_2023_change_percentage(%),population_density_2023
3880,4638,4763,4838,4947,5008,5074,5196,5300,5462,5570,5654,5761,5887,6034,6200,6374,6455,6599,6740,6796,6902,6994,7051,57,-53,82,28,417.9,7107,953.11,127.0,3.0,25.0,6977.0,986.14,179.0,4.0,35.0,0.81,16.87
3885,6909,6979,7028,7125,7248,7341,7340,7330,7337,7348,7380,7498,7599,7695,7781,7902,7965,8016,8060,8128,8245,8406,8499,93,14,54,25,7377.4,8592,951.23,124.0,3.0,24.0,8290.0,1022.19,292.0,6.0,57.0,1.09,1.15
3888,7047,6975,6939,6926,6902,6865,6851,6840,6828,6813,6800,6746,6691,6604,6528,6497,6507,6533,6570,6619,6693,6697,6685,-12,-24,-3,15,11383.7,6672,929.4,75.0,2.0,15.0,6727.0,936.36,65.0,2.0,13.0,-0.18,0.59
3909,8343,8447,8486,8585,8669,8759,8891,9076,9272,9453,9642,9762,9852,9901,9949,10038,10213,10424,10647,10873,11095,11183,11251,68,-45,78,35,214.0,11319,921.88,59.0,2.0,12.0,11164.0,962.14,121.0,3.0,24.0,0.6,52.57
3910,18750,19188,19723,20388,21036,21236,21638,22222,22770,23095,23163,23385,23649,24015,24357,24694,24863,25019,25109,25259,25252,25361,25563,202,150,-96,148,37.6,25768,975.55,178.0,4.0,35.0,24939.0,1056.17,401.0,8.0,79.0,0.79,679.87
3912,23470,23842,24135,24315,24598,24755,24825,25105,25474,25571,25613,25780,25961,26296,26581,26913,26996,27057,27007,26935,26776,26722,26951,229,118,-10,121,215.9,27180,951.64,124.0,3.0,24.5,26546.0,1065.6,427.5,8.5,84.0,0.85,124.83
3921,90,91,92,91,92,92,96,101,104,108,113,113,113,114,114,114,119,124,128,133,138,143,140,-3,0,-3,0,170.2,137,1057.68,355.0,7.0,69.0,139.0,951.22,94.0,2.0,19.0,-2.14,0.82
3922,7361,7585,7838,7967,8260,8303,8573,8880,9193,9500,9657,9802,9946,10104,10334,10686,11282,11902,12472,13075,13736,14074,14273,199,-55,176,78,100.6,14473,980.38,188.0,4.0,37.0,13799.0,996.76,211.0,5.0,42.0,1.39,141.88
3927,17831,17954,18067,18183,18374,18829,19424,19992,20388,20729,20885,21292,21675,22130,22524,22851,23232,23603,23930,24194,24245,24073,23973,-100,58,-279,121,108.9,23877,965.07,158.0,4.0,31.0,23970.0,1006.48,245.0,5.0,48.0,-0.42,220.14
3929,5811,5865,5904,5894,5901,5961,5827,5754,5725,5668,5578,5576,5580,5586,5604,5642,5720,5798,5878,5957,6024,6047,6015,-32,-15,-78,61,287.4,5985,1110.0,436.0,9.0,85.0,5995.0,1096.15,489.0,10.0,96.0,-0.53,20.93
3930,17056,17046,17059,17077,17102,17094,17227,17370,17626,17824,17942,18087,18210,18342,18471,18696,18830,18990,19076,19139,18924,18783,18878,95,-9,-149,253,23.2,18972,1099.46,426.0,9.0,83.0,18734.0,1129.18,509.0,10.0,100.0,0.5,813.71
3931,19118,19952,20347,20762,21151,21497,21966,22460,22854,23164,23224,23541,23942,24269,24633,25030,25504,25918,26245,26263,25910,25737,25852,115,-159,46,228,21.1,25962,1021.04,279.0,6.0,54.5,25756.0,1010.98,256.0,5.5,50.5,0.44,1225.21
3934,12493,13089,13741,14265,14781,15245,15805,16332,16869,17332,17581,18133,18465,18881,19071,19365,19604,19770,20006,20076,20026,19983,20087,104,-13,-71,188,30.2,20187,1060.16,362.0,8.0,71.0,19846.0,1090.11,476.0,10.0,93.0,0.52,665.13
3936,8455,8555,8574,8584,8588,8636,8830,9054,9231,9249,9333,9584,9938,10275,10785,11454,12015,12473,12778,13175,13469,13566,13574,8,-30,-56,94,45.1,13588,991.75,218.0,5.0,43.0,13366.0,1012.99,261.0,6.0,51.0,0.06,300.98
3938,18458,18563,18586,18472,18328,18329,18812,19261,19761,19966,20151,20461,20749,21029,21327,21613,22006,22343,22649,22938,23149,22986,23108,122,-154,135,141,23.8,23224,946.78,119.0,3.0,24.0,22944.0,976.58,152.0,3.0,30.0,0.53,970.92
3950,7981,8013,8070,8125,8185,8246,8328,8406,8528,8650,8819,8915,9015,9088,9167,9253,9347,9451,9593,9758,9787,9917,9894,-23,7,-57,27,600.7,9874,952.51,126.0,3.0,25.0,9842.0,1025.92,302.0,6.0,59.0,-0.23,16.47
3953,9791,9804,9909,9953,10026,10029,10118,10240,10393,10535,10678,10835,10939,11006,11077,11202,11236,11328,11416,11437,11439,11562,11643,81,-30,58,53,801.0,11725,961.85,149.0,3.0,29.0,11502.0,1003.76,238.0,5.0,47.0,0.7,14.54
3960,8285,8255,8211,8186,8180,8183,8185,8202,8225,8254,8280,8443,8578,8679,8787,8910,8986,9042,9138,9305,9393,9457,9522,65,-10,23,52,1980.3,9589,1051.53,324.0,6.5,63.0,9446.0,1001.77,234.0,5.0,46.0,0.68,4.81
3975,1507,2057,2658,3320,4091,5130,6319,7660,9002,10529,12107,12994,14042,14794,15459,16067,16668,17230,17631,18118,18271,18648,19029,381,172,-266,475,7.4,19410,1015.21,280.0,6.0,55.0,18027.0,1078.55,461.0,9.0,90.0,2.0,2571.49
3976,20384,20853,21566,22212,22485,22646,22851,23377,23904,24432,24744,24973,25295,25765,26239,26780,27097,27379,27528,27365,26376,26270,26840,570,270,-503,803,13.3,27430,914.07,46.5,1.5,9.5,26083.0,963.66,123.0,2.5,24.0,2.12,2018.05
3977,36504,38195,40629,43429,45904,48763,52187,56134,60361,64275,68807,74468,80632,87332,95190,103794,111122,118029,124949,131096,135700,140966,146342,5376,1944,1119,2313,154.0,152027,969.72,172.0,3.88,33.88,133905.0,1044.0,357.5,7.5,70.0,3.67,950.27
3978,38,44,51,85,132,181,190,174,177,177,162,218,320,991,2121,3298,5576,9860,15508,21121,25690,29711,33217,3506,613,2527,366,26.6,37190,1045.43,337.5,7.5,66.0,25337.0,1103.52,498.0,10.0,97.5,10.55,1248.76
3981,5236,5271,5361,5405,5541,5763,5785,5895,6236,6432,6711,6910,7071,7239,7440,7719,8044,8303,8757,9387,10160,10814,11523,709,132,519,58,414.7,12284,930.27,77.0,2.0,15.0,10069.0,1055.37,399.0,8.0,78.0,6.15,27.79
3996,17647,17801,17956,18117,18250,18359,18602,18891,19168,19787,20396,20801,21181,21611,22039,22577,23285,23994,24777,25684,26745,27540,28254,714,-50,651,113,728.8,28989,951.95,125.0,3.0,25.0,26792.0,989.51,189.0,4.0,37.0,2.53,38.77
