postcode,2001_population,2002_population,2003_population,2004_population,2005_population,2006_population,2007_population,2008_population,2009_population,2010_population,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population,2019_population,2020_population,2021_population,2022_population,2023_population,ERP_2023_change_number,natural_2023_increase_number,internal_2023_migration_number,overseas_2023_migration_number,area_in_square_kilometers,estimated_2024_population,IEO_Score,IEO_State Rank,IEO_State Decile,IEO_State Percentile,IER_Usual Resident Population,IER_Score,IER_State Rank,IER_State Decile,IER_State Percentile,ERP_2023_change_percentage(%),population_density_2023
3555,16792,16895,17132,17232,17225,17378,17606,17882,18207,18522,18818,19138,19377,19563,19742,19947,20191,20442,20718,20938,21071,21201,21258,57,16,-97,138,40.9,21322,922.6,63.0,2.0,13.0,21043.0,947.61,85.0,2.0,17.0,0.27,519.76
3558,11933,11884,11815,11717,11666,11586,11537,11486,11458,11402,11303,11329,11351,11382,11436,11511,11619,11752,11876,11989,12141,12296,12410,114,-21,100,35,7633.5,12529,939.85,99.0,2.5,19.5,12223.0,993.09,210.5,4.5,41.5,0.92,1.63
3561,3687,3693,3682,3668,3675,3685,3747,3800,3839,3872,3876,3886,3893,3891,3887,3895,3923,3941,3949,3973,3988,3960,3792,-168,-9,-162,3,351.6,3633,903.58,34.0,1.0,7.0,4016.0,978.06,157.0,4.0,31.0,-4.43,10.78
3564,12544,12806,13167,13244,13651,13848,13961,14085,14175,14278,14367,14447,14567,14685,14776,14888,15030,15153,15293,15437,15591,15629,15585,-44,-36,-75,67,184.0,15538,923.88,65.0,2.0,13.0,15636.0,976.67,153.0,3.0,30.0,-0.28,84.7
3566,4370,4354,4274,4274,4240,4221,4139,4100,4056,3935,3814,3834,3840,3838,3837,3855,3860,3872,3850,3863,3910,3968,3944,-24,12,-50,14,1646.4,3920,941.14,104.0,3.0,21.0,3927.0,1034.29,322.0,7.0,63.0,-0.61,2.4
3568,7625,7551,7457,7344,7257,7205,7037,6945,6851,6713,6531,6572,6599,6615,6628,6661,6697,6681,6633,6624,6666,6629,6559,-70,-23,-50,3,3568.3,6487,915.56,47.0,1.0,10.0,6719.0,984.2,175.0,4.0,35.0,-1.07,1.84
3579,4230,4213,4186,4180,4180,4190,4155,4130,4075,4006,3916,3917,3919,3911,3900,3898,3900,3915,3924,3946,3944,3900,3856,-44,-33,-11,0,146.6,3814,906.52,36.0,1.0,7.0,3960.0,930.62,62.0,2.0,13.0,-1.14,26.3
3585,17331,17303,17265,17214,17174,17129,17204,17233,17369,17290,17259,17407,17467,17477,17488,17521,17586,17643,17706,17731,17633,17553,17460,-93,48,-279,138,5886.2,17365,930.64,79.0,2.0,15.5,17663.0,969.78,140.0,3.0,27.5,-0.53,2.97
3608,3484,3485,3529,3547,3553,3611,3662,3702,3751,3799,3842,3906,3974,4048,4128,4232,4299,4396,4466,4612,4749,4879,4963,84,-15,63,36,2150.6,5046,940.69,102.0,2.5,20.5,4775.0,976.09,156.5,3.5,31.0,1.69,2.31
3612,4429,4420,4383,4356,4334,4326,4284,4263,4240,4200,4129,4133,4119,4095,4084,4076,4070,4079,4094,4129,4168,4159,4187,28,-7,24,11,1633.9,4216,923.36,64.0,2.0,13.0,4193.0,967.08,137.0,3.0,27.0,0.67,2.56
