id,promoType,price,hasVideo,agentNames,brandName,addressStreet,addressSuburb,addressState,addressPostcode,addressLat,addressLng,num_bath,type,formatted,isRural,landSize,Retirement,min_distance_to_university,min_distance_to_shopping_mall,min_distance_to_secondary_school,min_distance_to_primary_school,min_distance_to_park,min_walking_distance_to_station,nearest_station
17071496,standard,745,False,Amelie Frere,Shape Property ,2 Fear Street,RICHMOND,VIC,3121,-37.821465,144.99126,2.0,Townhouse,Townhouse,False,0.0,False,4.9,5.5,0.74,0.57,0.65,0.473,Richmond Railway Station (Richmond)
17116726,standard,540,False,Sandy Ho,Bow Residential,112/14 David Street,RICHMOND,VIC,3121,-37.81544,145.01114,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,5.83,4.1,0.95,0.36,0.5,1.635,Hawthorn Railway Station (Hawthorn)
17119852,standard,1200,False,"Phoenix To, VICPROP Melbourne Leasing",VICPROP,23 Hutchinson Drive,KEW,VIC,3101,-37.793552,145.02629,2.0,House,House,False,0.0,False,6.94,0.92,3.13,2.15,0.81,2.846,Alphington Railway Station (Alphington)
17124706,standard,1500,False,James Ollaik,Diamond Property Management,17 Yarravale Road,KEW,VIC,3101,-37.802216,145.0236,3.0,House,House,False,0.0,False,5.72,1.42,1.64,1.68,0.41,2.863,Hawthorn Railway Station (Hawthorn)
13932324,standard,675,False,Ash Ghale,Xynergy Realty Oakleigh,204/339 Burnley Street,RICHMOND,VIC,3121,-37.82498,145.00752,2.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,6.54,4.57,1.19,0.96,1.16,0.384,Burnley Railway Station (Burnley)
16551170,standard,1050,False,"Jimmy Walia, Akshay Ahuja",Buy Sell Rent Property Group,402 Barkers Road,HAWTHORN EAST,VIC,3123,-37.815987,145.04666,2.0,House,House,False,731.0,False,8.34,3.3,0.21,0.48,0.45,0.813,Auburn Railway Station (Hawthorn East)
17132551,standard,600,False,"Phoenix To, VICPROP Melbourne Leasing",VICPROP,209A/36 Lilydale Grove,HAWTHORN EAST,VIC,3123,-37.82313,145.04793,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,7.45,3.45,0.74,0.5,0.39,0.219,Auburn Railway Station (Hawthorn East)
17142615,standard,700,False,Joe Pollina,Walshe & Whitelock Pty Ltd,G01B/55 Camberwell Road,HAWTHORN EAST,VIC,3123,-37.82569,145.05052,2.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,6.66,2.94,0.92,0.82,0.71,0.649,Auburn Railway Station (Hawthorn East)
17143268,standard,595,False,Coco Liao,Woodards Camberwell,5/18 Rossfield Avenue,KEW,VIC,3101,-37.813377,145.04132,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,8.18,2.9,0.44,0.87,0.21,1.278,Glenferrie Railway Station (Hawthorn)
17147149,standard,600,False,Maria Schettino,Woodards Camberwell,117/102 Camberwell Road,HAWTHORN EAST,VIC,3123,-37.82774,145.05226,2.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,6.38,2.93,1.19,1.02,0.46,0.764,Camberwell Railway Station (Camberwell)
17152667,standard,540,False,Winnie Yang,JALIN REALTY AUSTRALIA PTY LTD,419/9-15 David Street,RICHMOND,VIC,3121,-37.814484,145.01208,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,5.82,4.08,1.14,0.45,0.59,1.715,Hawthorn Railway Station (Hawthorn)
17156419,standard,680,True,Steven Kwek,First National Real Estate - Infinity,B604/12 Albert Street,HAWTHORN EAST,VIC,3123,-37.8236,145.04807,2.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,7.09,3.62,0.91,0.55,0.44,0.334,Auburn Railway Station (Hawthorn East)
17161866,standard,540,False,Joe Pollina,Walshe & Whitelock Pty Ltd,507/39 Appleton Street,RICHMOND,VIC,3121,-37.81547,145.01141,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,5.85,4.12,0.98,0.38,0.48,1.611,Hawthorn Railway Station (Hawthorn)
17162346,standard,750,False,"Emily Young, Maurice Cruz",MEPROP,805/112 High Street,KEW,VIC,3101,-37.808285,145.02835,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,7.34,1.63,0.9,0.84,0.21,1.816,Hawthorn Railway Station (Hawthorn)
17162364,standard,775,False,Nikita McDonald,Living Melbourne Property,165 Wiltshire Drive,KEW,VIC,3101,-37.794136,145.02223,2.0,Townhouse,Townhouse,False,0.0,False,7.52,1.51,3.72,2.74,1.4,2.691,Fairfield Railway Station (Fairfield)
