addressPostcode,2023_population,estimated_2024_population,2024_growth_rate,2025_growth_rate,2026_growth_rate
3053.0,21376.0,25309.0,18.399139221556887,30.399139221556904,17.399139221556897
3000.0,54001.0,62187.0,15.158978537434493,27.158978537434507,14.158978537434505
3024.0,80341.0,90071.0,12.110877385145816,24.11087738514584,11.110877385145841
3024.0,80341.0,90071.0,12.110877385145816,24.11087738514584,11.110877385145841
3003.0,8724.0,9483.0,8.700137551581843,20.700137551581847,7.7001375515818555
3011.0,29532.0,31749.0,7.507110930516051,19.507110930516077,6.507110930516078
3008.0,17723.0,19052.0,7.498730463239858,19.498730463239873,6.498730463239875
3128.0,25286.0,26828.0,6.098236178122281,18.098236178122292,5.098236178122282
3056.0,14057.0,14900.0,5.9970121647577725,17.99701216475777,4.997012164757758
3121.0,33568.0,35290.0,5.129885605338417,17.12988560533843,4.129885605338418
