SA2 code,SA2 name,IEO_Score,IEO_State Rank,IEO_State Decile,IEO_State Percentile,IER_Usual Resident Population,IER_Score,IER_State Rank,IER_State Decile,IER_State Percentile
215021398,Mildura Surrounds,938.9466305,96.0,2.0,19.0,3726.0,985.4374144,178.0,4.0,35.0
215021399,Red Cliffs,891.52719135,18.0,1.0,4.0,6138.0,961.8497186,119.0,3.0,24.0
215021469,Mildura - North,909.40328495,40.0,1.0,8.0,18027.0,891.7621825,23.0,1.0,5.0
215021470,Mildura - South,936.13030367,85.0,2.0,17.0,16408.0,955.7966028,101.0,2.0,20.0
215031400,Buloke,958.1109319,141.0,3.0,28.0,6184.0,966.1532261,134.0,3.0,27.0
215031401,Gannawarra,915.55623927,47.0,1.0,10.0,6719.0,984.1959625,175.0,4.0,35.0
215031402,Kerang,906.52075567,36.0,1.0,7.0,3960.0,930.6186289,62.0,2.0,13.0
215031403,Robinvale,865.68412502,7.0,1.0,2.0,3740.0,893.7767882,25.0,1.0,5.0
215031404,Swan Hill,937.31609071,92.0,2.0,18.0,11186.0,947.8135205,86.0,2.0,17.0
215031405,Swan Hill Surrounds,923.96266542,66.0,2.0,13.0,6477.0,991.7524703,194.0,4.0,38.0
216011406,Echuca,923.88426347,65.0,2.0,13.0,15636.0,976.6707647,153.0,3.0,30.0
216011407,Kyabram,916.28541364,48.0,1.0,10.0,11121.0,972.1890861,143.0,3.0,28.0
216011408,Lockington - Gunbower,941.1366322,104.0,3.0,21.0,3927.0,1034.292218,322.0,7.0,63.0
216011409,Rochester,903.58198607,34.0,1.0,7.0,4016.0,978.0580562,157.0,4.0,31.0
216011410,Rushworth,923.35816304,64.0,2.0,13.0,4193.0,967.0751839,137.0,3.0,27.0
216021411,Cobram,879.97065911,10.0,1.0,2.0,6465.0,937.4707289,68.0,2.0,14.0
216021412,Moira,951.02095077,122.0,3.0,24.0,2843.0,1013.829445,264.0,6.0,52.0
216021413,Numurkah,927.00146946,71.0,2.0,14.0,12555.0,984.1589663,174.0,4.0,34.0
216021414,Yarrawonga,920.54715286,55.0,2.0,11.0,8661.0,975.6319354,150.0,3.0,30.0
216031415,Mooroopna,882.68902271,11.0,1.0,3.0,8312.0,913.6875248,41.0,1.0,8.0
216031416,Shepparton - North,966.13685721,160.0,4.0,31.0,19928.0,962.8083463,127.0,3.0,25.0
216031418,Shepparton Surrounds - East,994.97660328,230.0,5.0,45.0,4017.0,1046.78915,376.0,8.0,74.0
216031419,Shepparton Surrounds - West,951.08174396,123.0,3.0,24.0,10346.0,993.0453659,197.0,4.0,39.0
216031593,Kialla,992.90227637,225.0,5.0,44.0,9082.0,1066.019778,429.0,9.0,84.0
216031594,Shepparton - South East,891.79945577,19.0,1.0,4.0,16520.0,898.2088146,29.0,1.0,6.0
217011420,Glenelg (Vic.),932.91152839,83.0,2.0,17.0,8920.0,999.2288517,218.0,5.0,43.0
217011421,Hamilton (Vic.),937.36134373,93.0,2.0,18.0,10346.0,965.9529429,132.0,3.0,26.0
217011422,Portland,893.53513114,22.0,1.0,5.0,11230.0,946.5146584,84.0,2.0,17.0
217011423,Southern Grampians,1009.6036863,266.0,6.0,52.0,6301.0,1019.680864,288.0,6.0,57.0
217031471,Camperdown,918.41958804,51.0,1.0,10.0,3491.0,960.490145,116.0,3.0,23.0
217031472,Colac,875.48118813,9.0,1.0,2.0,12756.0,957.8579467,106.0,3.0,21.0
217031473,Colac Surrounds,988.45929127,212.0,5.0,42.0,5669.0,1043.199308,363.0,8.0,71.0
217031474,Corangamite - North,941.89621348,106.0,3.0,21.0,5395.0,981.3253813,168.0,4.0,33.0
217031475,Corangamite - South,966.83612688,162.0,4.0,32.0,7180.0,1029.56805,316.0,7.0,62.0
217031476,Otway,991.68639394,217.0,5.0,42.0,4008.0,984.4201088,176.0,4.0,35.0
217041477,Moyne - East,985.98623789,203.0,4.0,40.0,7018.0,1035.279801,328.0,7.0,64.0
217041478,Moyne - West,1000.2022178,245.0,5.0,48.0,10014.0,1035.243489,327.0,7.0,64.0
217041479,Warrnambool - North,945.25660577,116.0,3.0,23.0,22405.0,988.795669,187.0,4.0,37.0
217041480,Warrnambool - South,978.74216477,185.0,4.0,36.0,13337.0,973.7701926,148.0,3.0,29.0
