STOP_ID,LATITUDE,STOP_NAME,LONGITUDE,TICKETZONE,ROUTEUSSP,geometry
19993,-37.857333,North Williamstown Railway Station (Williamstown),144.889069,1,Williamstown,POINT (314297.4458041683 5807915.528377015)
19994,-37.842718,Newport Railway Station (Newport),144.8836,1,"Williamstown,Werribee",POINT (313779.48682111583 5809526.429794975)
19995,-37.830639,Spotswood Railway Station (Spotswood),144.885933,1,"Williamstown,Werribee",POINT (313954.45179720485 5810871.461680489)
19996,-37.81585,Yarraville Railway Station (Yarraville),144.889934,1,"Williamstown,Werribee",POINT (314269.51982039795 5812520.524158023)
19997,-37.809005,Seddon Railway Station (Seddon),144.895672,1,"Williamstown,Werribee",POINT (314757.5356619022 5813291.484919706)
20000,-37.701129,Watergardens Railway Station (Sydenham),144.77418,2,Sunbury,POINT (303776.45485472074 5825014.446145402)
20001,-37.729279,Keilor Plains Railway Station (St Albans),144.793738,2,Sunbury,POINT (305574.4935150188 5821931.514067611)
20002,-37.744861,St Albans Railway Station (St Albans),144.80005,2,Sunbury,POINT (306171.4488185276 5820215.512895454)
20003,-37.760067,Ginifer Railway Station (St Albans),144.811348,2,Sunbury,POINT (307206.46644222154 5818551.4814339895)
20004,-37.777653,Albion Railway Station (Sunshine North),144.824704,"1,2",Sunbury,POINT (308428.5142608074 5816627.453287279)
20005,-37.652187,Epping Railway Station (Epping),145.031068,2,Mernda,POINT (326311.521117914 5830952.437308012)
20006,-37.665851,Lalor Railway Station (Lalor),145.017193,2,Mernda,POINT (325119.47585228924 5829410.438534733)
20007,-37.680338,Thomastown Railway Station (Thomastown),145.014279,2,Mernda,POINT (324896.51710739115 5827797.484223305)
20008,-37.69487,Keon Park Railway Station (Thomastown),145.011884,2,Mernda,POINT (324719.5138045137 5826180.4844967425)
20009,-37.707898,Ruthven Railway Station (Reservoir),145.009517,2,Mernda,POINT (324541.5311106476 5824730.425578054)
20010,-37.716885,Reservoir Railway Station (Reservoir),145.006996,"1,2",Mernda,POINT (324340.5054091986 5823728.46288929)
20011,-37.728403,Regent Railway Station (Reservoir),145.002773,"1,2",Mernda,POINT (323995.54596149334 5822442.445345368)
20012,-37.738674,Preston Railway Station (Preston),145.000522,"1,2",Mernda,POINT (323821.5001360376 5821298.4988200525)
20013,-37.745562,Bell Railway Station (Preston),145.000155,1,Mernda,POINT (323805.4777778996 5820533.488476721)
20014,-37.755052,Thornbury Railway Station (Thornbury),144.998572,1,Mernda,POINT (323688.5308231079 5819477.447552944)
20015,-37.764101,Croxton Railway Station (Northcote),144.997056,1,Mernda,POINT (323576.4761536056 5818470.474036092)
20016,-37.769865,Northcote Railway Station (Northcote),144.995277,1,Mernda,POINT (323433.4637772133 5817827.5091718715)
20017,-37.777847,Merri Railway Station (Northcote),144.992972,1,Mernda,POINT (323249.46699171455 5816937.4307230795)
20019,-37.783217,Rushall Railway Station (Fitzroy North),144.992407,1,Mernda,POINT (323212.48384090804 5816340.485963668)
20021,-37.788536,Sunshine Railway Station (Sunshine),144.832878,"1,2",Sunbury,POINT (309176.4754563068 5815436.512508524)
